"","Div","Season","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR"
"1","SP1","201617","19/08/16","La Coruna","Eibar",2,1,"H",0,0,"D"
"2","SP1","201617","19/08/16","Malaga","Osasuna",1,1,"D",0,0,"D"
"3","SP1","201617","20/08/16","Barcelona","Betis",6,2,"H",3,1,"H"
"4","SP1","201617","20/08/16","Granada","Villarreal",1,1,"D",0,0,"D"
"5","SP1","201617","20/08/16","Sevilla","Espanol",6,4,"H",3,3,"D"
"6","SP1","201617","21/08/16","Ath Madrid","Alaves",1,1,"D",0,0,"D"
"7","SP1","201617","21/08/16","Sociedad","Real Madrid",0,3,"A",0,2,"A"
"8","SP1","201617","21/08/16","Sp Gijon","Ath Bilbao",2,1,"H",0,0,"D"
"9","SP1","201617","22/08/16","Celta","Leganes",0,1,"A",0,0,"D"
"10","SP1","201617","22/08/16","Valencia","Las Palmas",2,4,"A",2,3,"A"
"11","SP1","201617","26/08/16","Betis","La Coruna",0,0,"D",0,0,"D"
"12","SP1","201617","26/08/16","Espanol","Malaga",2,2,"D",1,0,"H"
"13","SP1","201617","27/08/16","Eibar","Valencia",1,0,"H",0,0,"D"
"14","SP1","201617","27/08/16","Leganes","Ath Madrid",0,0,"D",0,0,"D"
"15","SP1","201617","27/08/16","Osasuna","Sociedad",0,2,"A",0,1,"A"
"16","SP1","201617","27/08/16","Real Madrid","Celta",2,1,"H",0,0,"D"
"17","SP1","201617","28/08/16","Alaves","Sp Gijon",0,0,"D",0,0,"D"
"18","SP1","201617","28/08/16","Ath Bilbao","Barcelona",0,1,"A",0,1,"A"
"19","SP1","201617","28/08/16","Las Palmas","Granada",5,1,"H",1,1,"D"
"20","SP1","201617","28/08/16","Villarreal","Sevilla",0,0,"D",0,0,"D"
"21","SP1","201617","09/09/16","Sociedad","Espanol",1,1,"D",0,0,"D"
"22","SP1","201617","10/09/16","Barcelona","Alaves",1,2,"A",0,1,"A"
"23","SP1","201617","10/09/16","Celta","Ath Madrid",0,4,"A",0,0,"D"
"24","SP1","201617","10/09/16","Malaga","Villarreal",0,2,"A",0,2,"A"
"25","SP1","201617","10/09/16","Real Madrid","Osasuna",5,2,"H",3,0,"H"
"26","SP1","201617","10/09/16","Sevilla","Las Palmas",2,1,"H",0,1,"A"
"27","SP1","201617","11/09/16","Granada","Eibar",1,2,"A",0,1,"A"
"28","SP1","201617","11/09/16","La Coruna","Ath Bilbao",0,1,"A",0,1,"A"
"29","SP1","201617","11/09/16","Sp Gijon","Leganes",2,1,"H",2,0,"H"
"30","SP1","201617","11/09/16","Valencia","Betis",2,3,"A",0,1,"A"
"31","SP1","201617","16/09/16","Betis","Granada",2,2,"D",1,2,"A"
"32","SP1","201617","17/09/16","Ath Madrid","Sp Gijon",5,0,"H",3,0,"H"
"33","SP1","201617","17/09/16","Eibar","Sevilla",1,1,"D",0,1,"A"
"34","SP1","201617","17/09/16","Las Palmas","Malaga",1,0,"H",1,0,"H"
"35","SP1","201617","17/09/16","Leganes","Barcelona",1,5,"A",0,3,"A"
"36","SP1","201617","18/09/16","Ath Bilbao","Valencia",2,1,"H",2,1,"H"
"37","SP1","201617","18/09/16","Espanol","Real Madrid",0,2,"A",0,1,"A"
"38","SP1","201617","18/09/16","Osasuna","Celta",0,0,"D",0,0,"D"
"39","SP1","201617","18/09/16","Villarreal","Sociedad",2,1,"H",2,1,"H"
